,26-Jun-2025
The Nifty witnessed an intraday movement of about 305.4 points.The closing index was 1.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 118579.67
, Traded Quantity (in Lakhs), 44604.74
, Number of Trades, 34221161
, Total Market Capitalisation (Rs. Crores), 45516258.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty MS IT Telcm,     10391.05,     10417.25,     10425.20,     10330.20,     10384.80,-6.25
,Nifty NonCyc Cons,     16050.65,     16093.05,     16212.50,     16051.95,     16204.20,153.55
,Nifty Rural,     14893.10,     14926.90,     15056.00,     14905.70,     15050.00,156.9
,Nifty Shariah 25,      8259.50,      8261.35,      8298.45,      8236.35,      8293.80,34.3
,Nifty Trans Logis,     23002.45,     23072.10,     23211.80,     22999.55,     23195.55,193.1
,Nifty50 Shariah,      4798.50,      4797.35,      4816.05,      4775.90,      4811.30,12.8
,Nifty500 LMS Eql,     17978.55,     18029.15,     18099.50,     17959.65,     18092.25,113.7
,Nifty500 Shariah,      7137.75,      7150.45,      7174.60,      7127.45,      7171.65,33.9
,Nifty500 Qlty50,     19790.75,     19841.25,     19913.90,     19760.75,     19902.60,111.85
,Nifty500 LowVol50,     21812.15,     21832.60,     21947.75,     21761.90,     21933.75,121.6
,Nifty500 MQVLv50,     31494.60,     31524.10,     31728.35,     31420.95,     31702.80,208.2

,ADVANCES,1461
,DECLINES,1402
,UNCHANGED,89

,Total securities that have hit their price bands today,147

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,      1980.20,      2021.80,2.1,5036.57
,RELIANCE,EQ,      1467.30,      1495.30,1.91,2181.33
,FIRSTCRY,EQ,       339.15,       396.80,17,2146.97
,SBIN,EQ,       800.05,       797.05,-0.37,1964.19
,ICICIBANK,EQ,      1425.80,      1439.10,0.93,1956.62
,MOBIKWIK,EQ,       245.55,       262.45,6.88,1952.07
,BHARTIARTL,EQ,      1965.60,      2014.30,2.48,1882.76
,SHRIRAMFIN,EQ,       675.10,       703.20,4.16,1322.62
,KOTAKBANK,EQ,      2198.30,      2203.90,0.25,1245.25
,ETERNAL,EQ,       258.86,       265.18,2.44,1240.56
,GRSE,EQ,      3003.10,      2982.90,-0.67,1162.05
,JIOFIN,EQ,       303.30,       312.50,3.03,1153.84
,BAJFINANCE,EQ,       928.00,       951.50,2.53,1106.14
,BSE,EQ,      2789.00,      2803.00,0.5,1074.6
,AXISBANK,EQ,      1213.30,      1233.50,1.66,1067.29
,BEL,EQ,       406.05,       410.10,1,1054.8
,INFY,EQ,      1614.90,      1616.00,0.07,1052.97
,DIXON,EQ,     14165.00,     14315.00,1.06,1037.02
,MCX,EQ,      8662.00,      8839.00,2.04,996.14
,TCS,EQ,      3444.80,      3441.80,-0.09,989.75
,LT,EQ,      3619.80,      3659.60,1.1,940.64
,ENRIN,BE,      2802.10,      2827.60,0.91,940.11
,M&M,EQ,      3215.50,      3215.80,0.01,932.69
,INDIGO,EQ,      5639.00,      5691.50,0.93,781.88
,MAZDOCK,EQ,      3192.70,      3121.90,-2.22,750.44

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SHRIRAMFIN,EQ,       703.20,       675.10,4.16
,JIOFIN,EQ,       312.50,       303.30,3.03
,HINDALCO,EQ,       690.60,       672.65,2.67
,TATASTEEL,EQ,       160.54,       156.39,2.65
,ADANIPORTS,EQ,      1429.30,      1393.10,2.6

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      1321.50,      1341.60,-1.5
,TECHM,EQ,      1690.20,      1705.00,-0.87
,HEROMOTOCO,EQ,      4278.00,      4300.80,-0.53
,MARUTI,EQ,     12715.00,     12767.00,-0.41
,SBIN,EQ,       797.05,       800.05,-0.37

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,0RL34,N0,     85000.00,                   170000.00,2
,1003IIFL29,NC,       997.50,                   208633.50,209
,1003ISFL28,N4,      1000.00,                    37000.00,37
,1003SCL30A,NV,       871.00,                    17420.00,20
,1015ECL29,NR,       998.00,                   259503.60,260
,1015UCL27,NF,       990.00,                      990.00,1
,1018GS2026,GS,       108.25,                     3680.50,34
,1025UCL25,N8,      1000.00,                    55000.00,55
,1025UCL26A,N1,      1000.00,                     1000.00,1
,1039UCL26,NE,       980.00,                     6876.14,7
,1040NFL26,NA,       995.01,                    30895.41,31
,1040UCL27B,N1,       990.00,                    49500.00,50
,1050ISFL28,N5,      1025.00,                   137541.00,135
,1050NFL26,N7,      1009.00,                    10090.00,10
,1050UCL25,N7,       980.10,                   198587.10,200
,1050UCL28,NH,       999.00,                    99900.00,100
,105IIFL29,N7,      1050.00,                   122500.00,120
,105UCL2026,NB,       990.00,                    49500.00,50
,1065NFL27,NC,      1006.00,                  1434556.00,1426
,1075NFL25,N6,      1085.50,                     1085.50,1
,10CAGL27,N5,      1013.29,                   202658.90,200
,10IIFL28,N4,      1042.45,                   302583.55,290
,10IIFL28A,NE,       995.00,                   109470.00,110
,10IIFL29,N6,      1010.00,                    43430.00,43
,10NFL25,N9,       994.30,                    90069.07,90
,10NIDO26,N6,      1079.80,                    63683.00,59
,182D170725,TB,        99.44,                     9944.00,100
,182D231025,TB,        98.05,                   205825.00,2100
,182D271125,TB,        97.59,                    39036.00,400
,182D310725,TB,        99.40,                    49700.00,500
,20MICRONS,EQ,       230.29,                 13684815.07,59192
,21STCENMGM,EQ,        61.20,                   494258.51,8076
,360ONE,EQ,      1164.85,               2113761944.15,1806780
,364D260326,TB,        95.81,                     9581.00,100
,364D310725,TB,        99.40,                   149071.00,1500
,3IINFOLTD,EQ,        25.52,                 10465333.15,407675
,3MINDIA,EQ,     28605.00,                 56753880.00,1983
,3PLAND,EQ,        50.64,                   447350.07,8814
,515GS2025,GS,       101.99,                     1019.90,10
,574GS2026,GS,        98.81,                     6424.42,64
,577GS2030,GS,       100.00,                      400.00,4
,5PAISA,EQ,       410.65,                 13761999.95,33315
,610GS2031,GS,       100.00,                    90000.50,900
,63MOONS,EQ,       992.95,                428820009.40,430003
,654GS2032,GS,       103.95,                  4147500.00,40000
,675GS2029,GS,       103.00,                    26925.80,265
,676GS2061,GS,       100.80,                      100.80,1
,679GS2034,GS,       102.55,                    51275.00,500
,679GS2034A,GS,       100.45,                   151079.30,1504
,690GS2065,GS,        99.75,                   225195.50,2250
,692GS2039,GS,       103.00,                    20500.00,200
,695GS2061,GS,       100.00,                    50000.00,500
,698GR2054,GS,        99.00,                     7029.00,71
,699GS2026,GS,       102.30,                      102.30,1
,699GS2051,GS,       101.90,                   117268.10,1140
,704GS2029,GS,       103.01,                    20601.00,200
,709GS2054,GS,       103.22,                    10322.00,100
,709GS2074,GS,       101.00,                   801184.00,7922
,710GS2029,GS,       104.60,                   213813.33,2044
,717GS2030,GS,       105.98,                  1125869.99,10633
,718GS2037,GS,       107.06,                  2027339.79,18910
,719GS2060,GS,       103.05,                   138086.85,1339
,71GS2034,GS,       104.86,                   209720.00,2000
,725GS2063,GS,       102.46,                 10907595.85,106347
,726GS2032,GS,       107.10,                   157437.00,1470
,729NHAI26,NC,      1064.00,                   107388.00,101
,732GS2030,GS,       105.95,                   335605.00,3200
,732IRFC25,NI,      1060.00,                    76320.00,72
,734GS2064,GS,       104.90,                   433929.80,4140
,736GS2052,GS,       105.47,                   105475.30,1000
,736PFCL28,N2,      1079.00,                    38844.00,36
,737GS2028,GS,       105.30,                   541849.00,5160
,738GS2027,GS,       102.97,                  4680721.25,45440
,739CG33,SG,       100.35,                    10035.00,100
,739NHAI26,N8,      1016.10,                  3064367.95,3010
,73GS2053,GS,       104.27,                      312.54,3
,741AP30,SG,       100.10,                    10010.00,100
,741GS2036,GS,       107.98,                  7336934.25,68236
,743AP31,SG,       100.00,                    10000.00,100
,743TS33,SG,        99.70,                    19940.00,200
,746GS2073,GS,       107.00,                  1901612.55,17749
,74GS2035,GS,       105.15,                    42060.00,400
,74GS2062,GS,       106.03,                  4569814.42,43076
,750IRFC35,NK,      1208.20,                   550885.50,456
,753IRFC30,NJ,      1133.01,                   229397.62,202
,754GS2036,GS,       108.99,                 34491122.44,316690
,762NTPC35F,ND,      1208.00,                   208849.00,173
,764HUDCO31,N8,      1129.50,                     1129.50,1
,764IRFC31,NO,      1145.10,                   655333.81,570
,764NABAR31,N2,      1117.30,                  1374608.55,1235
,768KA37,SG,        99.85,                     9985.00,100
,769NHAI31,NE,      1152.10,                     1152.10,1
,76IGT26,ND,      1010.40,                     1010.40,1
,76NHAI31,NA,      1113.46,                  1274931.25,1145
,772GS2055,GS,       109.02,                   111671.00,1020
