506734,EQ,M,2025120,149.46
506808,EQ,M,2025120,96.01
506854,EQ,M,2025120,4074.78
506858,EQ,M,2025120,74.41
506906,EQ,M,2025120,4.79
506919,EQ,M,2025120,174.78
506935,EQ,M,2025120,84.58
506979,EQ,M,2025120,79.97
506981,EQ,M,2025120,196.68
507155,EQ,M,2025120,212.10
507180,EQ,M,2025120,89.40
507300,EQ,M,2025120,1272.54
507474,EQ,M,2025120,73.43
507486,EQ,M,2025120,48.34
507498,EQ,M,2025120,64.50
507515,EQ,M,2025120,19.44
507621,EQ,M,2025120,98.92
507690,EQ,M,2025120,291.30
507753,EQ,M,2025120,119.46
507759,EQ,M,2025120,20.83
507813,EQ,M,2025120,147.18
507817,EQ,M,2025120,222.00
507828,EQ,M,2025120,14.36
507833,EQ,M,2025120,7.04
507836,EQ,M,2025120,711.42
507864,EQ,M,2025120,75.00
507872,EQ,M,2025120,66.90
507944,EQ,M,2025120,831.12
507960,EQ,M,2025120,336.54
507966,EQ,M,2025120,51.65
507970,EQ,M,2025120,46.80
507981,EQ,M,2025120,110.77
507998,EQ,M,2025120,154.80
508136,EQ,M,2025120,540.00
508486,EQ,M,2025120,9738.72
508494,EQ,M,2025120,67.60
508571,EQ,M,2025120,213.48
508664,EQ,M,2025120,18.55
508670,EQ,M,2025120,4440.00
508807,EQ,M,2025120,1127.70
508875,EQ,M,2025120,725.94
508918,EQ,M,2025120,60.05
508941,EQ,M,2025120,633.24
508954,EQ,M,2025120,140.82
508956,EQ,M,2025120,17.93
508969,EQ,M,2025120,4.26
508980,EQ,M,2025120,24.16
509024,EQ,M,2025120,10.15
509026,EQ,M,2025120,110.50
509038,EQ,M,2025120,15.80
