Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-JUN-2025,530109,2.35,2.47,-0.0498,0.0381,0.0382,0.7298
26-JUN-2025,530111,28.00,27.86,0.0050,0.0330,0.0329,0.6286
26-JUN-2025,530119,39.08,38.48,0.0155,0.0357,0.0356,0.6801
26-JUN-2025,530125,344.85,342.45,0.0070,0.0310,0.0309,0.5903
26-JUN-2025,530127,24.62,26.52,-0.0743,0.0419,0.0421,0.8043
26-JUN-2025,530129,1548.70,1529.85,0.0122,0.0348,0.0347,0.6629
26-JUN-2025,530133,95.57,89.55,0.0651,0.0385,0.0387,0.7394
26-JUN-2025,530139,23.41,22.71,0.0304,0.0459,0.0458,0.8750
26-JUN-2025,530141,41.61,40.80,0.0197,0.0285,0.0284,0.5426
26-JUN-2025,530145,40.49,40.24,0.0062,0.0303,0.0303,0.5789
26-JUN-2025,530161,8.09,8.09,0.0000,0.0206,0.0206,0.3936
26-JUN-2025,530163,537.60,540.10,-0.0046,0.0358,0.0357,0.6820
26-JUN-2025,530167,19.69,19.36,0.0169,0.0349,0.0349,0.6668
26-JUN-2025,530169,30.88,31.41,-0.0170,0.0346,0.0345,0.6591
26-JUN-2025,530171,38.25,38.69,-0.0114,0.0348,0.0347,0.6629
26-JUN-2025,530173,10.00,10.00,0.0000,0.0291,0.0291,0.5560
26-JUN-2025,530175,96.15,97.90,-0.0180,0.0383,0.0382,0.7298
26-JUN-2025,530179,49.37,50.37,-0.0201,0.0265,0.0265,0.5063
26-JUN-2025,530185,6.72,6.68,0.0060,0.0245,0.0244,0.4662
26-JUN-2025,530187,4.33,4.20,0.0305,0.0450,0.0449,0.8578
26-JUN-2025,530197,182.65,179.90,0.0152,0.0406,0.0406,0.7757
26-JUN-2025,530201,4.28,4.31,-0.0070,0.0346,0.0345,0.6591
26-JUN-2025,530207,16.16,16.74,-0.0353,0.0344,0.0344,0.6572
26-JUN-2025,530213,59.89,59.52,0.0062,0.0334,0.0333,0.6362
26-JUN-2025,530215,130.00,131.70,-0.0130,0.0256,0.0256,0.4891
26-JUN-2025,530217,11.01,10.49,0.0484,0.0215,0.0217,0.4146
26-JUN-2025,530219,113.00,118.90,-0.0509,0.0225,0.0227,0.4337
26-JUN-2025,530231,66.45,66.45,0.0000,0.0254,0.0253,0.4834
26-JUN-2025,530233,268.10,264.40,0.0139,0.0317,0.0316,0.6037
26-JUN-2025,530235,92.10,94.01,-0.0205,0.0403,0.0402,0.7680
26-JUN-2025,530245,693.00,654.85,0.0566,0.0280,0.0282,0.5388
26-JUN-2025,530249,9.32,9.29,0.0032,0.0277,0.0276,0.5273
26-JUN-2025,530251,0.91,0.88,0.0335,0.0284,0.0284,0.5426
26-JUN-2025,530253,54.36,53.30,0.0197,0.1514,0.1510,2.8849
26-JUN-2025,530255,15.99,15.73,0.0164,0.0399,0.0399,0.7623
26-JUN-2025,530259,36.70,36.70,0.0000,0.0369,0.0368,0.7031
26-JUN-2025,530263,0.70,0.70,0.0000,0.0297,0.0296,0.5655
26-JUN-2025,530265,42.02,42.26,-0.0057,0.0441,0.0440,0.8406
26-JUN-2025,530267,55.93,57.06,-0.0200,0.0336,0.0336,0.6419
26-JUN-2025,530271,10.70,10.92,-0.0204,0.0292,0.0291,0.5560
26-JUN-2025,530281,28.31,29.80,-0.0513,0.0338,0.0339,0.6477
26-JUN-2025,530289,47.79,49.47,-0.0346,0.0439,0.0438,0.8368
26-JUN-2025,530291,35.78,36.51,-0.0202,0.0287,0.0286,0.5464
26-JUN-2025,530295,35.17,35.17,0.0000,0.0225,0.0224,0.4280
26-JUN-2025,530305,572.65,575.20,-0.0044,0.0342,0.0342,0.6534
26-JUN-2025,530309,20.90,20.18,0.0351,0.0282,0.0283,0.5407
26-JUN-2025,530313,51.00,50.85,0.0029,0.0383,0.0382,0.7298
26-JUN-2025,530315,166.70,171.75,-0.0298,0.0304,0.0304,0.5808
26-JUN-2025,530317,93.37,93.39,-0.0002,0.0295,0.0295,0.5636
26-JUN-2025,530331,441.95,438.25,0.0084,0.0290,0.0290,0.5540
26-JUN-2025,530341,129.95,126.10,0.0301,0.0346,0.0346,0.6610
26-JUN-2025,530357,5.86,6.01,-0.0253,0.0317,0.0316,0.6037
26-JUN-2025,530361,111.50,111.20,0.0027,0.0300,0.0299,0.5712
26-JUN-2025,530369,56.56,56.00,0.0100,0.0396,0.0395,0.7546
26-JUN-2025,530401,69.87,68.30,0.0227,0.0293,0.0293,0.5598
26-JUN-2025,530405,41.50,40.73,0.0187,0.0325,0.0324,0.6190
26-JUN-2025,530407,53.68,51.13,0.0487,0.0322,0.0323,0.6171
26-JUN-2025,530419,62.21,63.46,-0.0199,0.0314,0.0313,0.5980
26-JUN-2025,530421,12.90,13.49,-0.0447,0.0372,0.0372,0.7107
26-JUN-2025,530427,104.05,103.50,0.0053,0.0355,0.0355,0.6782
26-JUN-2025,530429,37.90,38.01,-0.0029,0.0410,0.0409,0.7814
26-JUN-2025,530433,39.50,38.89,0.0156,0.0290,0.0290,0.5540
26-JUN-2025,530439,7.25,7.39,-0.0191,0.0356,0.0355,0.6782
26-JUN-2025,530443,8.84,8.84,0.0000,0.0405,0.0404,0.7718
26-JUN-2025,530445,2.14,2.17,-0.0139,0.0390,0.0390,0.7451
26-JUN-2025,530449,65.45,67.96,-0.0376,0.0341,0.0341,0.6515
26-JUN-2025,530457,79.36,79.41,-0.0006,0.0266,0.0265,0.5063
26-JUN-2025,530459,28.30,28.26,0.0014,0.0366,0.0365,0.6973
26-JUN-2025,530461,17.28,17.24,0.0023,0.0352,0.0351,0.6706
26-JUN-2025,530469,39.54,40.34,-0.0200,0.0302,0.0301,0.5751
26-JUN-2025,530477,158.00,155.90,0.0134,0.0289,0.0288,0.5502
26-JUN-2025,530495,70.71,72.15,-0.0202,0.0289,0.0288,0.5502
26-JUN-2025,530499,1067.90,1073.75,-0.0055,0.0261,0.0260,0.4967
26-JUN-2025,530521,501.15,505.35,-0.0083,0.0325,0.0324,0.6190
26-JUN-2025,530525,7.42,7.22,0.0273,0.0351,0.0351,0.6706
26-JUN-2025,530533,150.65,158.40,-0.0502,0.0388,0.0389,0.7432
26-JUN-2025,530545,251.70,256.95,-0.0206,0.0329,0.0328,0.6266
26-JUN-2025,530547,15.49,15.49,0.0000,0.0284,0.0284,0.5426
26-JUN-2025,530557,0.68,0.69,-0.0146,0.0302,0.0301,0.5751
26-JUN-2025,530565,28.56,30.06,-0.0512,0.0345,0.0346,0.6610
