SYMBOL,SYMBOL P/E,ADJUSTED P/E
ASTRAMICRO,69.79,69.79
WELENT,18.43,18.45
NTPC,14.76,14.76
KOTARISUG,30.30,48.26
JBMA,60.27,60.27
DWARKESH,38.88,38.88
SUPRAJIT,64.18,64.18
PATELENG,14.73,9.07
XCHANGING,22.01,22.01
JSWSTEEL,65.89,61.08
CONSOFINVT,6.08,6.08
JPPOWER,15.20,15.20
EVEREADY,28.30,28.30
GOKEX,40.77,40.77
SAKSOFT,24.80,24.80
ALLDIGI,16.85,20.11
IIFL,35.41,12.03
MANGALAM,18.80,18.80
SHOPERSTOP,505.81,429.53
WELCORP,19.06,27.40
SSWL,21.89,21.89
SURYALAXMI,37.63,41.85
JKPAPER,15.06,15.06
PRIMESECU,23.69,25.63
GRANULES,23.89,24.94
JSWHL,134.54,134.54
VHL,368.25,368.25
GEOJITFSL,14.38,14.38
GENUSPOWER,37.71,37.71
YESBANK,25.93,25.93
NECLIFE,29.52,29.52
SPLIL,12.24,12.24
GOLDIAM,31.36,31.36
RML,276.59,95.21
HTMEDIA,34.08,24.18
SASKEN,43.14,43.14
FCSSOFT,119.70,119.68
IMPAL,16.94,16.50
SUZLON,42.52,42.52
AURIONPRO,39.07,39.07
TRIVENI,36.11,36.11
AIAENG,29.36,29.36
NAHARINDUS,32.79,30.22
ORIENTCER,43.30,43.30
EKC,15.88,15.18
VIMTALABS,31.95,31.95
KERNEX,41.71,41.71
NITINSPIN,12.33,12.33
ROHLTD,24.53,24.53
ENIL,59.40,59.40
GSPL,10.63,10.63
JAGRAN,16.82,16.82
GVKPIL,1.10,13.99
SAKUMA,32.29,32.29
KEC,43.27,43.27
JKCEMENT,53.44,60.01
INDOTECH,33.31,33.31
M&MFIN,16.86,16.86
BLKASHYAP,53.92,116.57
CENTURYPLY,88.02,85.15
KEI,52.22,52.22
SOLARINDS,119.96,119.96
GALLANTT,32.89,32.89
UTTAMSUGAR,13.56,13.56
KKCL,20.61,20.61
SUNTV,13.69,13.36
GPIL,15.49,15.50
RSYSTEMS,40.34,40.34
LOKESHMACH,654.66,654.66
BALPHARMA,21.99,21.99
KAMDHENU,14.49,14.49
RATNAMANI,36.37,36.37
PIONEEREMB,29.93,29.64
JKLAKSHMI,32.48,32.48
ALLCARGO,93.10,23.35
MUNJALAU,19.17,15.59
EMAMILTD,30.66,30.66
TECHM,39.28,39.32
GRINDWELL,51.12,51.12
VOLTAMP,39.11,39.11
ATLANTAA,9.44,9.44
SELAN,14.22,14.22
ACE,35.40,35.40
ANANTRAJ,46.11,46.11
HOVS,16.65,16.65
BINANIIND,5.37,
TALBROAUTO,23.53,23.53
ALICON,31.44,31.44
GEECEE,17.31,17.31
JMFINANCIL,19.16,19.16
FIEMIND,24.07,24.40
DCBBANK,7.32,7.32
INSPIRISYS,15.17,15.17
NAUKRI,68.26,75.39
GESHIP,6.00,6.00
TORNTPOWER,24.08,24.08
MANALIPETC,41.11,37.71
LTFOODS,26.73,26.73
DONEAR,17.69,17.69
RUCHIRA,6.19,6.19
SOBHA,172.23,172.23
VENUSREM,12.82,15.15
JINDRILL,13.21,13.21
HIRECT,59.77,59.77
NFL,64.95,64.95
PLASTIBLEN,16.10,16.10
PARACABLES,20.31,20.31
HBLENGINE,61.31,61.13
TANLA,17.34,17.34
AVTNPL,20.75,20.75
VEEDOL,20.52,19.81
LUMAXTECH,33.10,33.10
SARLAPOLY,15.03,15.03
PTL,15.62,15.62
WANBURY,29.83,29.83
AUTOIND,30.75,23.40
GANDHITUBE,14.69,14.69
PITTIENG,29.35,29.35
UNOMINDA,73.31,73.84
IZMO,10.96,10.51
HUBTOWN,54.27,54.27
TIIL,26.64,26.64
ORIENTBELL,184.83,184.83
PGIL,29.61,30.08
REDINGTON,13.18,18.38
TTL,82.11,
FSL,45.59,46.13
PFC,4.47,4.47
SMSPHARMA,31.45,31.45
INDIANB,7.60,7.60
ORIENTALTL,11.46,
PAGEIND,73.86,73.86
LAOPALA,29.53,29.53
AMDIND,95.11,95.11
JKTYRE,18.94,18.10
ASTRAL,77.93,77.93
EMBDL,121.13,102.32
NAHARSPING,79.52,79.52
NAHARPOLY,24.79,24.79
THEMISMED,50.99,50.99
NCLIND,40.69,32.75
BALAMINES,34.17,34.17
BANSWRAS,24.49,24.49
