MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,PSFL,PARAMOUNT SPECIALI FORG L,        40.00,        40.00,        42.00,        40.00,        41.80,                  1911400.00,46000, ,        87.15,        38.50
N,SM,PSRAJ,P S RAJ STEELS LIMITED,       155.00,       154.90,       155.95,       152.50,       153.10,                  2770450.00,18000, ,       158.50,       122.85
N,SM,PULZ,PULZ ELECTRONICS LIMITED,        47.25,        46.75,        46.75,        46.40,        46.60,                   279500.00,6000, ,       210.15,        37.55
N,SM,QFIL,QUALITY FOILS (INDIA) LTD,        75.30,        79.05,        79.05,        79.05,        79.05,                   158100.00,2000, ,       121.75,        67.10
N,SM,QMSMEDI,QMS MEDICAL ALLIED S LTD,        87.60,        87.10,        87.10,        86.20,        86.75,                   607900.00,7000, ,       153.90,        72.35
N,SM,QUESTLAB,QUEST LABORATORIES LTD,        87.00,        87.15,        87.15,        82.65,        85.55,                  2036460.00,24000, ,       172.90,        75.15
N,SM,RADIOWALLA,RADIOWALLA NETWORK LTD,        62.50,        64.00,        64.00,        64.00,        64.00,                   307200.00,4800, ,       150.00,        53.85
N,SM,RAJINDLTD,RAJPUTANA INDUSTRIES LTD,        79.30,        79.00,        79.90,        77.55,        78.50,                   708675.00,9000, ,       120.00,        71.00
N,SM,RAJPUTANA,RAJPUTANA BIODIESEL LTD,       225.45,       233.90,       234.00,       233.90,       233.95,                   350900.00,1500, ,       383.85,       173.15
N,SM,RAPIDFLEET,RAPID FLEET MGT SERVICE L,       195.10,       190.30,       190.35,       190.30,       190.30,                  7079190.00,37200, ,       229.00,       175.00
N,SM,RAPPID,RAPPID VALVES (INDIA) LTD,       282.10,       282.00,       282.00,       275.00,       280.50,                   839970.00,3000, ,       430.00,       215.20
N,SM,RBS,RAMDEVBABA SOLVENT LTD,       112.50,       112.50,       113.00,       112.00,       112.00,                  3420560.00,30400, ,       150.50,        84.50
N,SM,RCDL,RAJGOR CASTOR DERIVATI L,        22.45,        22.35,        22.35,        22.35,        22.35,                    67050.00,3000, ,        41.45,        16.55
N,SM,REMUS,REMUS PHARMACEUTICALS L,      1880.45,      1919.95,      1974.70,      1880.45,      1959.45,                  9970942.50,5150, ,      2834.75,      1781.05
N,SM,REXPRO,REXPRO ENTERPRISES LTD,        85.00,        86.95,        86.95,        86.95,        86.95,                    86950.00,1000, ,       120.00,        73.35
N,SM,RMDRIP,R M DRIP & SPRINK SYS LTD,       559.40,       569.50,       571.25,       553.90,       554.00,                  3365825.00,6000, ,       571.25,       137.00
N,SM,RNFI,RNFI SERVICES LIMITED,       259.85,       260.60,       260.60,       249.00,       250.40,                 10540740.00,41400, ,       321.00,       109.80
N,SM,SAAKSHI,SAAKSHI MEDTEC N PANELS L,       169.50,       170.00,       170.00,       165.70,       166.95,                  1406460.00,8400, ,       369.00,       118.00
N,SM,SAHANA,SAHANA SYSTEM LIMITED,      1413.60,      1414.00,      1429.95,      1380.00,      1414.35,                 45971800.00,32625, ,      2135.00,       990.85
N,SM,SAJHOTELS,SAJ HOTELS LIMITED,        67.10,        67.30,        67.50,        66.20,        66.20,                   669500.00,10000, ,        86.50,        40.10
N,SM,SANGANI,SANGANI HOSPITALS LIMITED,        71.50,        71.50,        71.50,        71.50,        71.50,                   214500.00,3000, ,        81.00,        35.20
N,SM,SAROJA,SAROJA PHARMA INDUS IND L,        36.00,        36.40,        37.50,        36.40,        36.50,                   293120.00,8000, ,        70.75,        34.00
N,SM,SARTELE,SAR TELEVENTURE LIMITED,       241.90,       241.00,       262.95,       241.00,       259.55,                 37813350.00,148500, ,       413.70,       188.00
N,SM,SEL,SUNGARNER ENERGIES LTD,       292.85,       290.30,       296.00,       280.00,       292.75,                   859230.00,3000, ,       909.20,       257.55
